IdStation,Name,Address,DockBikes,FreeBases,TotalBases,Estado,NoAvailabl,Longitud,Latitud
1406,2 - Metro Callao,"Calle Miguel Moya, 1",15,12,27,Poca disponibilidad,Disponible,-3.70569,40.4204
1407,3 - Plaza Conde Suchil,"Plaza Conde Surchill, 4",3,16,19,Fuera de servicio,Disponible,-3.707254,40.430322
1408,4 - Malasaña,"Calle Manuela Malasaña, 3",2,25,27,Fuera de servicio,Disponible,-3.7025,40.428626
1409,5 - Fuencarral,"Calle Fuencarral, 106",4,23,27,Fuera de servicio,Disponible,-3.702135,40.428521
1410,6 - Colegio Arquitectos,"Calle Hortaleza, 63",9,9,19,Poca disponibilidad,Disponible,-3.698447,40.424148
1411,7 - Hortaleza,"Calle Hortaleza, 75",18,1,19,Disponible,Disponible,-3.697771,40.425191
1412,8 - Metro Alonso Martínez,"Plaza de Alonso Martínez, 6",19,5,24,Disponible,Disponible,-3.69544,40.427868
1413,9 - Plaza de San Miguel,"Plaza de San Miguel, 10",12,12,24,Poca disponibilidad,Disponible,-3.709508,40.415606
1414,10 - Marqués de la Ensenada,"Calle Marqués de la Ensenada (junto a edif, Centro Colón)",21,2,23,Disponible,Disponible,-3.692104,40.425403
1415,11 - Plaza del Dos de Mayo,"Calle San Andrés, 18 - 20",2,21,23,Fuera de servicio,Disponible,-3.7036,40.427
1416,12 - San Hermenegildo,"Calle San Bernardo, 85 - 87",11,16,27,Poca disponibilidad,Disponible,-3.706141,40.428467
1417,13 - Conde Duque,"Calle Conde Duque, 22",3,20,23,Fuera de servicio,Disponible,-3.7105,40.4273
1418,14 - Ventura Rodríguez,"Ventura Rodríguez, 3",5,22,27,Fuera de servicio,Disponible,-3.713307,40.426043
1419,15 - Norte,"Calle norte, 10",1,18,19,Fuera de servicio,Disponible,-3.707445,40.426238
1420,16 - San Bernardo,"Calle San Bernardo, 22",7,12,19,Poca disponibilidad,Disponible,-3.707481,40.422937
1421,17 - Plaza de Carlos Cambronero,"Plaza de Carlos Cambronero, 2",6,17,23,Fuera de servicio,Disponible,-3.704166,40.423126
1422,18 - Plaza de Pedro Zerolo,"Plaza de Pedro Zerolo, 20",9,15,24,Poca disponibilidad,Disponible,-3.699678,40.420925
1423,19 - Prim,"Calle Prim, 4",20,8,28,Disponible,Disponible,-3.695498,40.421862
1424,20A - Banco de España,"Calle Alcalá, 48",15,12,27,Poca disponibilidad,Disponible,-3.695247,40.418808
1426,23 - Santo Domingo,"Plaza de Santo Domingo, 1",6,18,24,Fuera de servicio,Disponible,-3.708249,40.42026
1427,24 - Palacio de Oriente,"Calle Carlos III, 1",12,6,18,Poca disponibilidad,Disponible,-3.71065,40.417767
1428,25A - Plaza de Celenque A,"Plaza de Celenque, 1",6,18,24,Fuera de servicio,Disponible,-3.705779,40.41737
1429,25B - Plaza de Celenque B,"Plaza de Celenque, 1",13,11,24,Poca disponibilidad,Disponible,-3.705898,40.417369
1430,26 - Plaza de las Salesas,"Plaza de las Salesas, 2",15,12,27,Poca disponibilidad,Disponible,-3.6945,40.4239
1431,27 - Huertas,"Calle Jesús, 6",15,12,27,Poca disponibilidad,Disponible,-3.6957,40.4133
1432,28 - Metro Sevilla,"Calle Alcalá, 28",17,1,18,Disponible,Disponible,-3.698458,40.41806
1433,29 - Marqués de Cubas,"Calle del Marqués de Cubas, 25",20,3,23,Disponible,Disponible,-3.695743,40.416384
1434,30 - San Quintín,"Calle Pavía, 4",8,19,27,Fuera de servicio,Disponible,-3.711504,40.41921
1435,31 - Mayor,"Calle Mayor, 16",18,9,27,Poca disponibilidad,Disponible,-3.706897,40.416364
1436,32 - Plaza de la Provincia,Plaza de la Provincia (esquina calle Gerona),17,1,18,Disponible,Disponible,-3.706103,40.41501
1437,33 - Puerta del Sol,"Calle Carretas, 3",19,4,23,Disponible,Disponible,-3.70333,40.416587
1438,34 - Jacinto Benavente,Plaza de Jacinto Benavente,3,21,24,Fuera de servicio,Disponible,-3.703683,40.414676
1439,35 - Plaza del Cordón,"Plaza del Cordón,1",18,6,24,Disponible,Disponible,-3.710329,40.414193
1440,36 - Plaza Ramales,"Plaza de Ramales,1",14,10,24,Poca disponibilidad,Disponible,-3.71183,40.4168
1441,37 - Plaza de San Francisco,Plaza de San Francisco,13,11,24,Poca disponibilidad,Disponible,-3.714113,40.4108
1442,38 - Plaza de los Carros,"Carrera de San Francisco enfrente del, 2",17,9,27,Poca disponibilidad,Disponible,-3.71159,40.411359
1443,39 - Plaza de la Cebada,"Plaza de la Cebada, 3",4,27,31,Fuera de servicio,Disponible,-3.708834,40.411274
1444,40 - Conde de Romanones,"Plaza del Conde de Romanones, 2",2,16,18,Fuera de servicio,Disponible,-3.704795,40.413778
1445,41 - Metro Antón Martín,"Calle Atocha, 56",12,7,19,Poca disponibilidad,Disponible,-3.699115,40.412205
1446,42 - Santa Isabel,"Calle Santa Isabel, 32",0,26,27,Fuera de servicio,Disponible,-3.698292,40.410849
1447,43 - Jesús y María,"Calle Jesús y María, 38",12,6,18,Poca disponibilidad,Disponible,-3.702471,40.410039
1448,44 - Plaza de Nelson Mandela,"Plaza Nelson Mandela, 44",1,18,19,Fuera de servicio,Disponible,-3.703864,40.409791
1449,45 - Metro Puerta de Toledo,"Puerta de Toledo, 1",9,10,19,Poca disponibilidad,Disponible,-3.711103,40.406866
1450,46 - Ribera de Curtidores,"Calle Ribera de Curtidores, 28",14,13,27,Poca disponibilidad,Disponible,-3.707126,40.405315
1451,47 - Renfe/Cercanías Embajadores,"Glorieta de Embajadores, 7",11,13,24,Poca disponibilidad,Disponible,-3.7028,40.404577
1452,48 - Casa de baños Embajadores,"Glorieta de Embajadores, 7",18,6,24,Disponible,Disponible,-3.702057,40.405482
1453,49 - Casa Encendida,"Ronda de Atocha, 34",12,15,27,Poca disponibilidad,Disponible,-3.699277,40.406053
1454,50 - Museo Reina Sofía,Calle de Santa Isabel (esquina con plaza del Emperador Carlos V),22,2,24,Disponible,Disponible,-3.693346,40.408368
1455,51 - Ronda de Atocha,Ronda de Atocha (esquina con Plaza del Emperador Carlos V),24,3,27,Disponible,Disponible,-3.69352,40.407561
1456,52 - Plaza de Santa Ana,"Plaza de Santa Ana, 10",9,6,15,Poca disponibilidad,Disponible,-3.700716,40.414423
1457,53 - Plaza de Lavapiés,Plazuela de Ana Diosdado,8,16,24,Poca disponibilidad,Disponible,-3.700754,40.408309
