tipo_elem,distrito,id,id_cruce,fecha_inst,longitud,latitud
2200PeatonBici,20,56090,10026,,-3.60348608797248,40.43395391269580
2200PeatonBici,20,56091,10026,,-3.60346772874251,40.43398587710280
2200PeatonBici,20,56092,10026,,-3.60344115270254,40.43403175659810
3200Bici,7,20925,281,10/06/2017,-3.70272900156453,40.44406589061740
3200Bici,7,53458,279,09/01/1968,-3.70331034021759,40.44528248206270
2200PeatonBici,7,21033,279,22/06/2017,-3.70340880567191,40.44545222486670
2200PeatonBici,7,21047,280,21/06/2017,-3.70244114008246,40.44324422303270
2200PeatonBici,4,21087,22,01/01/1960,-3.68873526967104,40.42059983029140
2200PeatonBici,4,21088,22,01/01/1960,-3.6885902995486,40.42058343997070
2200PeatonBici,2,56173,1839,,-3.71904393711215,40.40163500215900
2200PeatonBici,2,56174,1839,,-3.71890791299205,40.40164585937100
3200Bici,11,21643,927,11/10/1979,-3.73059620417595,40.3880295246504
3200Bici,11,21671,598,21/12/2014,-3.72960188371789,40.38721486857530
3200Bici,11,21698,320,16/09/1968,-3.72749443002957,40.38622468350390
3200Bici,11,21729,346,12/04/1969,-3.72370093236008,40.38548421160590
3200Bici,11,21733,346,03/01/2015,-3.72337364115489,40.38543729912190
3200Bici,11,21738,647,29/01/1975,-3.72160992415326,40.38527815670850
3200Bici,11,22096,2272,09/08/2017,-3.71899646910415,40.38525975210540
3200Bici,3,24139,106,20/09/2017,-3.6749486290976,40.40092141047830
3200Bici,6,24441,306,04/12/2014,-3.69520612583074,40.45224081167610
2200PeatonBici,1,57557,28,,-3.69538361957121,40.4190018067297
2200PeatonBici,1,57559,28,,-3.69534852997323,40.41890194663670
2200PeatonBici,1,26485,39,01/01/1960,-3.71061823012477,40.42330482981950
2200PeatonBici,8,26747,988,19/05/2020,-3.71231818286477,40.48010652239910
2200PeatonBici,6,27323,4667,19/02/2015,-3.69806298347088,40.45241896150550
2200PeatonBici,6,27324,4667,19/02/2015,-3.69810224610836,40.45242167354200
2200PeatonBici,6,27327,795,01/01/1978,-3.69935766193895,40.45250245156170
2200PeatonBici,8,27494,1083,04/05/2020,-3.70468862504775,40.48240310349080
2200PeatonBici,8,27498,1083,04/05/2020,-3.70456869346553,40.48215593958610
2200PeatonBici,8,27500,1083,04/05/2020,-3.70451196419201,40.48206408575970
2200PeatonBici,8,27502,1083,04/05/2020,-3.70463902823051,40.48183897498800
2200PeatonBici,8,27503,1083,04/05/2020,-3.70478045437523,40.48180743516430
2200PeatonBici,8,27506,1083,04/05/2020,-3.70590837951429,40.48211638843090
2200PeatonBici,8,27509,1083,04/05/2020,-3.70579584989317,40.48180681518700
2200PeatonBici,8,27511,1083,04/05/2020,-3.70576024759926,40.48170988094630
2200PeatonBici,8,27512,1083,04/05/2020,-3.70549667360977,40.48157672525790
2200PeatonBici,8,27513,1083,04/05/2020,-3.70535623665371,40.48160579758360
2200PeatonBici,8,27515,1083,04/05/2020,-3.70565964423603,40.48143244063620
2200PeatonBici,8,27521,1083,04/05/2020,-3.70438592999169,40.48177231679670
2200PeatonBici,8,27534,1173,28/04/1989,-3.70935843856398,40.48076318000390
2200PeatonBici,8,27535,1173,21/04/2019,-3.70943051701937,40.48074726639930
