anyo;trimestre;barrio;num_viviendas;metros_2;dormitorios;banyos;renta_min;renta_media;renta_max;euros_m2;desv_tipica
2013;2;Polígono de Babel;17;103;3,2;1,9;350;530;700;5,2;79
2013;2;Polígono de San Blas;12;101;3,1;1,7;340;483;600;4,8;74
2013;2;Raval Roig;11;75;2;1,5;350;462;750;6,2;130
2013;2;San Agustín;4;90;2,4;1,4;280;436;750;4,9;179
2013;2;San Antón;10;101;2,3;1,5;240;438;600;4,3;92
2013;2;San Blas;60;88;2,7;1,5;300;432;600;4,9;63
2013;2;San Gabriel;34;104;2,9;1,9;330;524;800;5;92
2013;2;Santa Faz;2;75;1,7;1,3;400;449;550;6;71
2013;2;Sidi Ifni - Nou Alacant;3;80;2,8;1,2;350;391;450;4,9;34
2013;2;Tómbola;4;96;3;2,1;430;499;585;5,2;55
2013;2;Urbanova;10;76;2;1,6;325;458;800;6,1;108
2013;2;Villafranqueza;9;112;2,6;1,6;300;408;900;3,6;127
2013;2;Virgen del Remedio;4;89;2,8;1,5;300;354;420;4;41
2013;2;Vistahermosa;4;116;2,9;1,9;330;634;950;5,5;205
2013;3;Alipark;12;94;3,3;1,5;350;446;650;4,7;87
2013;3;Altozano;25;100;3,1;1,5;275;436;550;4,4;72
2013;3;Benalúa;64;90;2,9;1,6;250;429;800;4,7;95
2013;3;Benisaudet;5;94;2,7;1,9;400;492;575;5,3;55
2013;3;Cabo de las Huertas;39;110;2,6;1,7;300;630;1400;5,7;229
2013;3;Campoamor;33;90;2,8;1,4;300;418;550;4,7;70
2013;3;Carolinas Altas;33;79;2,5;1,3;220;382;550;4,8;56
2013;3;Carolinas Bajas;29;74;2,3;1,4;250;390;560;5,2;69
2013;3;Casco Antiguo - Sta. Cruz;19;74;2;1,3;250;468;800;6,3;135
2013;3;Centro;120;95;2,6;1,6;280;533;1000;5,6;145
2013;3;Centro Histórico - Tradicional;48;81;2,3;1,5;250;470;900;5,8;144
2013;3;Ciudad de Asís;8;89;2,6;1,4;300;392;525;4,4;63
2013;3;Ciudad Jardín;1;208;3;1,5;450;765;1100;3,7;325
2013;3;Colonia Requena;1;68;2,5;1;270;277;290;4,1;10
2013;3;Florida Alta;18;84;2,8;1,4;299;405;550;4,8;60
2013;3;Florida Baja;21;84;2,8;1,5;300;432;600;5,1;73
2013;3;Garbinet;2;75;2;1,5;300;420;550;5,6;103
2013;3;Gran Vía - Parque Avenidas;29;107;2,8;1,9;450;566;800;5,3;83
2013;3;Juan XXIII 1er sector;4;87;3,1;1,4;300;358;450;4,1;48
2013;3;Juan XXIII 2do Sector;2;93;3;1,3;260;349;500;3,8;105
2013;3;La Albufereta;58;78;2,1;1,4;250;496;800;6,3;110
2013;3;La Goteta;3;79;2,3;1,2;350;384;475;4,9;43
2013;3;Los Ángeles;31;91;2,9;1,5;250;414;600;4,5;67
2013;3;Mercado;27;92;2,9;1,5;300;460;700;5;84
2013;3;PAU I;14;100;2,5;2;500;582;700;5,8;65
2013;3;PAU II;5;103;3,1;1,9;500;527;600;5,1;32
2013;3;Pla del Bon Repós;53;76;2,5;1,2;260;371;600;4,9;64
2013;3;Playa de San Juan;163;92;2,3;1,7;250;554;1250;6;170
2013;3;Polígono de Babel;21;104;3,2;1,9;390;529;750;5,1;81
2013;3;Polígono de San Blas;8;98;3,1;1,7;340;461;600;4,7;82
2013;3;Raval Roig;12;67;2;1,3;350;446;800;6,6;103
2013;3;San Agustín;5;90;2,4;1,6;280;427;750;4,8;142
2013;3;San Antón;7;80;1,9;1,4;240;430;650;5,4;106
2013;3;San Blas;55;90;2,8;1,5;300;443;700;4,9;82
2013;3;San Gabriel;31;103;2,8;1,9;330;512;700;5;80
2013;3;Santa Faz;2;72;1,5;1,3;400;432;550;6;65
2013;3;Sidi Ifni - Nou Alacant;3;85;2,8;1,2;350;385;450;4,5;34
2013;3;Tómbola;4;101;3,4;1,9;395;484;575;4,8;54
2013;3;Urbanova;9;74;1,9;1,5;325;437;600;5,9;76
2013;3;Villafranqueza;6;79;2,5;1,6;300;419;900;5,3;152
2013;3;Virgen del Remedio;13;87;2,7;1,2;250;339;450;3,9;47
2013;3;Vistahermosa;4;134;3,1;2;425;660;950;4,9;174
2013;4;Pla del Bon Repós;61;72;2,5;1,1;260;353;500;4,9;55
2013;4;Carolinas Altas;41;79;2,5;1,3;220;377;450;4,8;54
2013;4;Campoamor;31;83;2,8;1,4;300;378;500;4,6;56
2013;4;Carolinas Bajas;39;74;2,2;1,4;250;378;490;5,1;58
2013;4;Los Ángeles;39;90;2,8;1,6;250;403;550;4,5;62
2013;4;Benalúa;83;91;3;1,6;250;415;650;4,6;82
2013;4;San Blas;57;87;2,8;1,5;300;424;600;4,9;57
