_id,CÓDIGO,DESCRIPCION,LATITUD,LONGITUD,DIRECCIÓN,C.P.,POBLACION,PROVINCIA,Fichas,Túneles lavado
77,37002,GETAFE-CENTRO,"40,309974","-3,733989","PASEO ESTACION FERROCARRIL, S/N",28902,Getafe,Madrid,https://data.renfe.com/files/estaciones/FichaEstacion37002.pdf,""
78,37010,LAS MARGARITAS,"40,323041","-3,727278","CALLE MADRID, 155",28903,Getafe,Madrid,https://data.renfe.com/files/estaciones/FichaEstacion37010.pdf,""
79,60102,GETAFE-INDUSTRIAL,"40,3055338","-3,7073714","AVENIDA DE LOS ANGELES, S/N",28903,Getafe,Madrid,https://data.renfe.com/files/estaciones/FichaEstacion60102.pdf,""
80,60109,EL CASAR,"40,3184029","-3,7092335","AVENIDA DEL CASAR, S/N",28903,Getafe,Madrid,https://data.renfe.com/files/estaciones/FichaEstacion60109.pdf,""
81,35001,LEGANES,"40,328633","-3,771162","CALLE VIRGEN DEL CAMINO, 2",28911,Leganés,Madrid,https://data.renfe.com/files/estaciones/FichaEstacion35001.pdf,""
82,35011,PARQUE POLVORANCA,"40,312544","-3,783546","CALLE ARGANDA DEL REY, 6",28914,Leganés,Madrid,https://data.renfe.com/files/estaciones/FichaEstacion35011.pdf,""
83,35009,ZARZAQUEMADA,"40,3409732","-3,7482259","CALLE DEL RONCAL, 7",28915,Leganés,Madrid,https://data.renfe.com/files/estaciones/FichaEstacion35009.pdf,""
84,35605,ALCORCON,"40,350199","-3,831678","AVENIDA DE MOSTOLES, 4",28922,Alcorcón,Madrid,https://data.renfe.com/files/estaciones/FichaEstacion35605.pdf,""
85,35610,LAS RETAMAS,"40,341869","-3,842311","AVENIDA DE MOSTOLES, S/N",28922,Alcorcón,Madrid,https://data.renfe.com/files/estaciones/FichaEstacion35610.pdf,""
86,35604,SAN JOSE DE VALDERAS,"40,356574","-3,815577","AVENIDA DE LISBOA, S/N",28924,Alcorcón,Madrid,https://data.renfe.com/files/estaciones/FichaEstacion35604.pdf,""
87,35606,MOSTOLES,"40,328724","-3,863478","PASEO DE GOYA, S/N",28932,Móstoles,Madrid,https://data.renfe.com/files/estaciones/FichaEstacion35606.pdf,""
88,35607,MOSTOLES-EL SOTO,"40,330971","-3,882441","CALLE GRANADA, 10",28935,Móstoles,Madrid,https://data.renfe.com/files/estaciones/FichaEstacion35607.pdf,""
89,35002,FUENLABRADA,"40,283135","-3,799565","PASEO DE ROMA, 1",28944,Fuenlabrada,Madrid,https://data.renfe.com/files/estaciones/FichaEstacion35002.pdf,""
90,35010,LA SERNA-FUENLABRADA,"40,296725","-3,792477","CALLE DE BARCELONA, 28",28945,Fuenlabrada,Madrid,https://data.renfe.com/files/estaciones/FichaEstacion35010.pdf,""
91,35012,HUMANES,"40,255565","-3,828334","CALLE ESTACION FERROCARRIL, 5",28970,Humanes de Madrid,Madrid,https://data.renfe.com/files/estaciones/FichaEstacion35012.pdf,""
92,37012,PARLA,"40,241032","-3,769312","CALLE REAL, S/N",28981,Parla,Madrid,https://data.renfe.com/files/estaciones/FichaEstacion37012.pdf,""
93,12023,LOS COTOS,"40,822239","-3,964546","CARRETERA C-604 - ESTACION FERROCARRIL, S/N",40100,Real Sitio de San Ildefonso,Segovia,https://data.renfe.com/files/estaciones/FichaEstacion12023.pdf,""
